status	sha256	size_bytes	mtime_local	path	error
OK	4E78BCA46A842F218E116897D1BF51BC515C8158436260CD15ACD71AC9BC7091	4502	2026-04-25 16:50:30	C:\L0_RUNTIME\L2_CENTRAL\C1_Auth\__pycache__\c1_gatekeeper.cpython-311.pyc	
OK	EB8A13DA6732E33A2B8BEE9DC8DFCED24AC9A2581EEEC36283A2441F0EA1D4FB	3450	2026-04-25 16:48:43	C:\L0_RUNTIME\L2_CENTRAL\C1_Auth\c1_gatekeeper.py	
OK	371F43B1D67C0450B7F7EE6384E5DFB328E250968E0D25BF6CBAE32164D21CCB	9317	2026-04-21 13:58:16	C:\L0_RUNTIME\L2_CENTRAL\C2_MEMORY\__pycache__\c2_retrieve.cpython-311.pyc	
OK	34028E153666CC604FC81B1178D45E655DCD4E20853A421CFED500289EAA127E	8259	2026-04-21 13:47:54	C:\L0_RUNTIME\L2_CENTRAL\C2_MEMORY\c2_retrieve.py	
OK	7EB8959BBD648DACED0C7A6920AB35974D2A7E18B26FE9DF703C8D6E0447875F	3702	2026-04-23 01:28:19	C:\L0_RUNTIME\L2_CENTRAL\C3_INPUT_GUARD\__pycache__\c3_filter.cpython-311.pyc	
OK	3F85E019624B84BD7C97CB9DA26812581D86EECECD6D1CFD07D1765219D84845	629	2026-04-23 01:08:14	C:\L0_RUNTIME\L2_CENTRAL\C3_INPUT_GUARD\c3_block_list.txt	
OK	985DC8432F48A6FBB07E8CE66EA40E070413E4DAEF0125F959CEE33F522435B0	3181	2026-04-23 01:08:07	C:\L0_RUNTIME\L2_CENTRAL\C3_INPUT_GUARD\c3_filter.py	
OK	BF4A835CD68F83BE56D493641077D8C198A54C2DA804B0457F7F4C01FE157EA6	29079	2026-04-27 00:25:54	C:\L0_RUNTIME\L2_CENTRAL\C4_OUTPUT_CHECK\__pycache__\c4_verify.cpython-311.pyc	
OK	5788D49A318B988B8E30AA20637C36D25BFA118C735778D1F46A5F8917223359	4708	2026-04-26 13:19:58	C:\L0_RUNTIME\L2_CENTRAL\C4_OUTPUT_CHECK\c4_persona_rule.txt	
OK	8E4D56674762A643A265B91BAF3EBDA11287CEB11CB3E688326A18CA587F1DEE	22532	2026-04-27 00:24:11	C:\L0_RUNTIME\L2_CENTRAL\C4_OUTPUT_CHECK\c4_verify.py	
OK	5FC37FBE689D8F602914B7103ABEC2CF3B178848D3682B601A0C03DABA30E2D0	6475	2026-04-26 14:54:14	C:\L0_RUNTIME\L2_CENTRAL\C5_LLM_CALL\script\__pycache__\c5_llm_gatekeeper.cpython-311.pyc	
OK	14907699FD410CF4C80F97577D454A15ABEC6D12AA335AB328D8F7CCF856B297	19353	2026-04-26 14:54:14	C:\L0_RUNTIME\L2_CENTRAL\C5_LLM_CALL\script\__pycache__\c5_persona_prompt.cpython-311.pyc	
OK	775C74F3DE19DD6050E19D9EA334D4FEB3DBB50F317B454497A4E5D353A813F9	6430	2026-04-21 13:58:16	C:\L0_RUNTIME\L2_CENTRAL\C5_LLM_CALL\script\__pycache__\p1_hash_generator.cpython-311.pyc	
OK	BC2D37ACE95818DD25243D7F3778E476740896EB0A38D70C3452519D0865CC34	5509	2026-04-26 14:50:02	C:\L0_RUNTIME\L2_CENTRAL\C5_LLM_CALL\script\c5_llm_gatekeeper.py	
OK	3ABEC8541EC729129710C195CD12E746A7B65B6B62613268496F8175827563DA	18327	2026-04-26 14:49:14	C:\L0_RUNTIME\L2_CENTRAL\C5_LLM_CALL\script\c5_persona_prompt.py	
OK	DE2D0D8B70633D289501E492228702FB5461AD6B85B5D1F9C5CC5338AB6BB9C4	4009	2026-04-12 18:56:00	C:\L0_RUNTIME\L2_CENTRAL\C5_LLM_CALL\script\p1_hash_generator.py	
OK	8E11885B5BFF437377D9E09B3F5B41BB8F567E956AB573F7C6DFB91B54BA7548	5716	2026-04-21 13:58:16	C:\L0_RUNTIME\L2_CENTRAL\C6_WRITEBACK\__pycache__\c6_submit.cpython-311.pyc	
OK	88E40A917FDA281511E0377E35F4C1925F6A0561C3EF85778665FC98071465D9	3785	2026-04-21 13:47:54	C:\L0_RUNTIME\L2_CENTRAL\C6_WRITEBACK\c6_submit.py	
OK	681F797EFE2772A11AB539ECB1809AB0BEA4C8622B806273A803353C69616902	725	2026-04-18 14:08:17	C:\L0_RUNTIME\L2_CENTRAL\C7_PLUGINS\manifest.json	
OK	4A12951259E1C136426A5F5C740FD2BBF9559421BD543B1B7D3B49EB081D28E7	607	2026-04-13 17:26:54	C:\L0_RUNTIME\L2_CENTRAL\hardware_profile.json	
OK	D2A9D1885DCDC27C7A9D261F6C2E4A9A7293E55095D43C2AFA62C4B8A46D1E15	15658	2026-04-21 13:58:16	C:\L0_RUNTIME\L2_CENTRAL\L2_MAIN\__pycache__\c7_manifest_guard.cpython-311.pyc	
OK	15B88B4017B56D8E292CD961F337C0EF0F37365D40885FCEDC70649209C1B198	24734	2026-04-26 13:56:56	C:\L0_RUNTIME\L2_CENTRAL\L2_MAIN\__pycache__\l2_central.cpython-311.pyc	
OK	58B77D2AC77DF1419870635F3E2904CD94DFEBF35189D8B00396BB52B15C8729	5824	2026-04-21 13:58:16	C:\L0_RUNTIME\L2_CENTRAL\L2_MAIN\__pycache__\qinai_security_check.cpython-311.pyc	
OK	249E97F0BE190C5E6F790680911BA01C383B52D5A73192600B641B732A94788C	10211	2026-04-25 23:09:54	C:\L0_RUNTIME\L2_CENTRAL\L2_MAIN\__pycache__\utils_guard.cpython-311.pyc	
OK	4CC6CA97BCB60F916C810D137486A96E4CB65019D4010F125D6880AB73AB5C69	8764	2026-04-19 02:54:21	C:\L0_RUNTIME\L2_CENTRAL\L2_MAIN\c7_manifest_guard.py	
OK	951D41C5F267BB4EB1DE6D884BA6EBA92AD8F6E68F27015A78AD336BFBF236FA	20840	2026-04-26 13:52:58	C:\L0_RUNTIME\L2_CENTRAL\L2_MAIN\l2_central.py	
OK	28D834078FE41CFEEEB4D7281682E85A4F794CD3962166FD42FABF2BEC9A12FD	3843	2026-04-18 21:48:07	C:\L0_RUNTIME\L2_CENTRAL\L2_MAIN\qinai_security_check.py	
OK	8DDC18357252E82772717D53CB31CCDF2FF5FFA5613D24D3ADE84FF5C462765E	5992	2026-04-23 01:08:34	C:\L0_RUNTIME\L2_CENTRAL\L2_MAIN\utils_guard.py	
OK	AD606E09C8D8196FBEB2144673955C662B88C16A2C336E096CBBEF34A5FAE9AB	19824	2026-04-25 16:50:27	C:\L0_RUNTIME\L5_SAFE\__pycache__\l5_audit_logger.cpython-311.pyc	
OK	EF99B6F7F8C6C1588A95B8CF70C12759AB0576DC5F3AF1D43B7DACCD0F8C3FD6	14299	2026-04-21 13:58:16	C:\L0_RUNTIME\L5_SAFE\ADMIN_TOOLS\__pycache__\memory_review_tool.cpython-311.pyc	
OK	D0CA4A9BF9160A2477BC543B750695659650BE50ACD8870F3DDE466C09BA4CE6	7669	2026-04-21 13:58:16	C:\L0_RUNTIME\L5_SAFE\ADMIN_TOOLS\__pycache__\review_cli.cpython-311.pyc	
OK	9A1A9B3DC9F80ACCF69053E468CCC182BBE619EFD4395A7E806B31DCBD1CFE2E	7346	2026-04-20 11:44:42	C:\L0_RUNTIME\L5_SAFE\ADMIN_TOOLS\__pycache__\rollback_tool.cpython-311.pyc	
OK	29148D611E2AA3FF6112213CB006DC96C6162CBFD058032095BEE6D1C358896C	5828	2026-04-20 11:44:42	C:\L0_RUNTIME\L5_SAFE\ADMIN_TOOLS\__pycache__\snapshot_tool.cpython-311.pyc	
OK	46F719E180E646B1F97D5B92479CABC788E335CCAFFA9252B5D506DA31D98AE2	7965	2026-04-20 13:28:02	C:\L0_RUNTIME\L5_SAFE\ADMIN_TOOLS\memory_review_tool.py	
OK	8DC860F83A8A42574DD25B510DAA7BEC20626B0A56BCC53ADC6FD71CC6AE972B	4223	2026-04-18 14:29:51	C:\L0_RUNTIME\L5_SAFE\ADMIN_TOOLS\review_cli.py	
OK	6978C99F1AD7177418D3A5EA135F983C19B80B49E4499EBD4145293571F66501	4509	2026-04-23 00:47:35	C:\L0_RUNTIME\L5_SAFE\ADMIN_TOOLS\rollback_tool.py	
OK	563B4C51EA7371EC3E7638570FB8E2961E5C2D3417C01DE2719BE20004B61674	3364	2026-04-23 00:47:23	C:\L0_RUNTIME\L5_SAFE\ADMIN_TOOLS\snapshot_tool.py	
OK	E9D6D1EA4FA37E2901B15839195C91037AD6639B17B050CD9FDE78711E9728E6	6934	2026-04-18 23:55:01	C:\L0_RUNTIME\L5_SAFE\BASELINE\P1_RUNTIME_SHA256_BASELINE.json	
OK	9E2DD732A13C30D48FE75D37A7E39D4A174455EA0C48F478E78B0EC4E741D438	1407	2026-04-19 03:03:55	C:\L0_RUNTIME\L5_SAFE\BASELINE\P2_14A_C7_LOADER_SHA256_DELTA.json	
OK	2323D6F943614924F5BFB59D305586EDB63550365204453E78097A1361259546	640	2026-04-20 12:28:28	C:\L0_RUNTIME\L5_SAFE\BASELINE\P2_14B_G4_PERSISTENT_AUDIT_SHA256_DELTA.json	
OK	A4760C41B2B52621473A84C3B634760346CA30D7F255B2DE4EBDEB45D047C962	728	2026-04-18 23:53:50	C:\L0_RUNTIME\L5_SAFE\DEPLOY_BACKUP\ACL_13D_20260418_235350\g4_meltdown_acl_before.txt	
OK	9BDF124EA25C4A0388F52F5E2DBBB5FE046BB5D0111F841744A3AC1CAC9C9D0B	809	2026-04-18 23:53:50	C:\L0_RUNTIME\L5_SAFE\DEPLOY_BACKUP\ACL_13D_20260418_235350\g4_meltdown_acl_before_readable.txt	
OK	406BBEE0D51EB3C52EA7BA4291695A901E8B0EE78D8ADA5871AD2682D82A7B56	13402	2026-04-21 14:06:35	C:\L0_RUNTIME\L5_SAFE\DEPLOY_BACKUP\legacy_20260421\L0_PROJECTION\P1_persona_constitution.txt	
OK	A9663F8C9F66EE8313737DF31CBFB32C59902D29DE1A4A08F27558B20529CC4F	8323	2026-04-21 14:06:35	C:\L0_RUNTIME\L5_SAFE\DEPLOY_BACKUP\legacy_20260421\L0_PROJECTION\P2_reply_pool.txt	
OK	E694F7E79F915D900B6F1757BA71DD499B379B1B14C328DF0000D4EC02B0979E	85	2026-04-21 14:06:35	C:\L0_RUNTIME\L5_SAFE\DEPLOY_BACKUP\legacy_20260421\L2_CENTRAL_root\modules_config.txt	
OK	07C941F61490CF23EFA1E37ECB12D115247395AA0D522BBF4707F28A0981DEDE	64	2026-04-21 14:06:35	C:\L0_RUNTIME\L5_SAFE\DEPLOY_BACKUP\legacy_20260421\P1_C_drive\P1_persona_constitution.sha256	
OK	35CEDCD6FB05C2FC22C58A4128A071DDDEC40A1DB7A972D4F2F3BFC0563A13D2	19676	2026-04-21 14:06:35	C:\L0_RUNTIME\L5_SAFE\DEPLOY_BACKUP\legacy_20260421\P1_C_drive\P1_persona_constitution.txt	
OK	FA2E998B0ABFC8BE6EF7A89FA5F7B44932D9E3B944D37B23045DE56950673B3D	6126	2026-04-18 22:42:06	C:\L0_RUNTIME\L5_SAFE\DEPLOY_BACKUP\P1_12B_20260418_224206\deploy_transcript.txt	
OK	06C23A6A74592FFBF408079F843C6A6073E8AAD551AB4314D215B1E8F4074656	4010	2026-04-21 13:58:16	C:\L0_RUNTIME\L5_SAFE\DEPLOY_BACKUP\P1_12B_20260418_224206\L2_CENTRAL\C4_OUTPUT_CHECK\__pycache__\c4_verify.cpython-311.pyc	
